SNR,RF_acc_mean,RF_acc_std,CNN_acc_mean,CNN_acc_std
Clean,99.96981587684878,0.0,99.93963175369755,0.0
+30 dB,49.33427239494248,0.017101048105418404,90.00234765402287,0.04134831809349368
+20 dB,44.95422074655398,0.028457864219199304,58.07089915149077,0.046712909672950394
+10 dB,26.920884059429184,0.1555089126252755,4.3465137337760344,0.0
+5 dB,15.209444276754871,0.10846806606161732,4.3465137337760344,0.0
0 dB,6.529831975047792,0.014228932109599652,4.3465137337760344,0.0
