feature,anova_f,mutual_info,rf_importance,combined
Ch1_skewness,514573.65104413155,2.2246447245928156,0.08590541771866916,0.9832676997749906
Ch1_kurtosis,422465.3109970131,2.3146366904656652,0.08688877092550815,0.9404621098672025
Ch2_kurtosis,13167.979960312075,2.1452710810281066,0.07183128868190757,0.5937406158411211
Ch2_skewness,29269.9189375871,2.1672524693304327,0.06475445652823829,0.5801652989064033
Ch2_env_skew,8928.978190896414,2.008262953199984,0.06214309911366074,0.5341028616082392
Ch2_rise_time_ns,5414.9882878320395,2.1438026423413046,0.05746025366478916,0.5333857670363685
Ch2_env_kurtosis,16101.199134064569,1.7408772590471835,0.052516388740918546,0.46330124483926777
Ch2_pulse_width_us,13589.12183188993,1.8076725537812037,0.03927600137214423,0.4205023324692152
Ch2_crest_factor,12023.359358551372,1.7392940951898401,0.0314736586830595,0.3797106822274849
Ch2_centroid_us,13570.24688658437,1.6180990901783028,0.028371958419606706,0.35135802874204775
Ch1_dwt_approx_std,2546.3242661919367,2.272118605828708,0.004379018149518644,0.34637368276046937
amp_ratio_peak,10192.688170983123,1.6380827056426872,0.02659114652849685,0.34522090291923746
Ch2_dwt_approx_std,1897.1037118990682,2.231270119366005,0.004406040716422743,0.3401750657853862
Ch1_peak_to_peak,4387.836286162881,2.053935217814777,0.004893098071645349,0.31811536791338824
Ch1_env_kurtosis,26290.313366999657,1.4828717772799818,0.015506493934979496,0.2907498493206308
Ch1_pulse_width_us,4945.206840000287,1.3038595068180747,0.022588446557345536,0.2783414928918047
Ch1_dwt_detail_L5_energy,2667.541381710226,1.4502926052042264,0.015506342973119988,0.27078798986662017
Ch1_dwt_detail_L5_std,5780.477097087319,1.4498856885157192,0.014652333453042973,0.2694653033985542
Ch2_peak_to_peak,3702.1798956242746,1.7132786033562513,0.004142165862506705,0.2657330211073216
tdoa_us,974.4995321388925,1.785829709538067,0.0014230355825269776,0.26398657940788234
Ch1_rise_time_ns,804.8430714243161,1.4842408789959227,0.006838021729666047,0.2412184138639771
Ch2_env_std,2795.4306572522646,1.5549796927815798,0.003691073689940965,0.24061957535136366
Ch1_env_peak,4656.2518301549335,1.4883365345868587,0.0045160861840487345,0.23539005172083427
Ch1_dwt_detail_L4_energy,2807.499040825118,1.2423940291421371,0.01171980596416254,0.22641238173028091
Ch1_dwt_detail_L4_std,5984.874792252758,1.2456385386132762,0.01035227479200348,0.22368715988602395
Ch2_dwt_detail_L5_energy,2898.976158561449,1.2306310578910877,0.011181932664707255,0.2227140580350692
Ch1_env_std,4028.2455201357798,1.4458305047786866,0.0027523204773972436,0.2220964017396373
Ch1_phase_std,868.2775323275926,1.3644651438469566,0.006242561811804965,0.22172600789408603
Ch1_peak,5018.604742180523,1.4356295589946975,0.0027662374058407733,0.22132090041207086
Ch1_centroid_us,8608.185159505372,1.1966788403290627,0.010745137796567758,0.2198392509277174
Ch2_dwt_detail_L5_std,6404.646700360268,1.2283339067549068,0.009339092609253391,0.2175795439626164
Ch1_env_skew,3436.1988747819314,1.319338377963148,0.005480541279330411,0.21396377525900787
Ch2_env_peak,3522.05825323662,1.322746601971199,0.003183616541418657,0.20569835221582403
Ch2_spectral_rolloff_MHz,414.6722850505089,1.2607638858168397,0.00598007873876922,0.2054917020843543
Ch2_wide4_40-50MHz,645.020786042936,1.163110054488477,0.007589382866334579,0.19775117251183552
Ch2_peak,3539.2807489581874,1.2558376144993688,0.0035528236220373037,0.19749024637861626
